faculty_id,name,gender,email,phone,university,department,designation,years_experience,highest_degree,research_areas,max_students_capacity,current_assigned_students
FAC0022,Dr. Nabila Sarker,F,nabila.sarker22@independent.edu.bd,01452654696,Independent University Bangladesh (IUB),Economics,Professor,24,Ph.D. in Public Health,Public Policy; Human-Computer Interaction,5,3
FAC0023,Ehsan Sarker,M,ehsan.sarker23@bangladesh.edu.bd,01709961327,Bangladesh University of Professionals (BUP),Computer Science & Engineering,Senior Lecturer,22,Ph.D. in Business Administration,Financial Economics,10,5
FAC0024,Dr. Imran Akter,M,imran.akter24@north.edu.bd,01562268171,North South University,Pharmacy,Associate Professor,16,Ph.D. in Business Administration,Renewable Energy Systems; Structural Engineering,12,0
FAC0025,Nabila Sheikh,F,nabila.sheikh25@ahsanullah.edu.bd,01866046419,Ahsanullah University of Science and Technology (AUST),Computer Science & Engineering,Senior Lecturer,7,Ph.D. in Data Science,Entrepreneurship; Data Privacy,5,3
FAC0026,Orin Siddique,F,orin.siddique26@united.edu.bd,01320594389,United International University (UIU),Public Health,Professor,6,Ph.D. in Business Administration,Natural Language Processing; Cloud Computing,12,10
FAC0027,Dr. Ishrat Rahman,F,ishrat.rahman27@north.edu.bd,01742456075,North South University,Architecture,Assistant Professor,4,Ph.D. in Civil Engineering,Structural Engineering; Financial Economics,10,0
FAC0028,Dr. Farzana Molla,F,farzana.molla28@ahsanullah.edu.bd,01827645793,Ahsanullah University of Science and Technology (AUST),Public Health,Associate Professor,10,Ph.D. in Business Administration,Natural Language Processing,5,1
FAC0029,Dr. Farzana Hossain,F,farzana.hossain29@north.edu.bd,01846602416,North South University,Media & Journalism,Professor,23,Ph.D. in Electrical Engineering,Natural Language Processing; Public Policy,5,2
FAC0030,Dr. Nafis Talukder,M,nafis.talukder30@brac.edu.bd,01524809624,BRAC University,Public Health,Assistant Professor,10,Ph.D. in Computer Science,Embedded Systems; Data Privacy,8,6
FAC0031,Dr. Nusrat Kabir,F,nusrat.kabir31@ahsanullah.edu.bd,01853194979,Ahsanullah University of Science and Technology (AUST),Business Administration,Senior Lecturer,17,Ph.D. in Civil Engineering,Human-Computer Interaction,8,0
FAC0032,Dr. Munira Haque,F,munira.haque32@american.edu.bd,01973826460,American International University-Bangladesh (AIUB),Public Health,Lecturer,13,Ph.D. in Civil Engineering,Cybersecurity; Data Privacy,8,7
FAC0033,Zubair Mia,M,zubair.mia33@north.edu.bd,01792959660,North South University,Public Health,Assistant Professor,12,Ph.D. in Civil Engineering,Entrepreneurship; Data Privacy,5,1
FAC0034,Dr. Shahana Parvin,F,shahana.parvin34@brac.edu.bd,01394226865,BRAC University,Public Health,Lecturer,22,Ph.D. in Electrical Engineering,Structural Engineering,8,3
FAC0035,Dr. Anik Ferdous,M,anik.ferdous35@independent.edu.bd,01674722640,Independent University Bangladesh (IUB),English,Associate Professor,24,Ph.D. in Civil Engineering,Natural Language Processing; Bioinformatics; Structural Engineering,8,6
FAC0036,Dr. Kona Sheikh,F,kona.sheikh36@daffodil.edu.bd,01429981996,Daffodil International University,Pharmacy,Assistant Professor,16,Ph.D. in Public Health,Human-Computer Interaction; Entrepreneurship,5,4
FAC0037,Dr. Sadman Molla,M,sadman.molla37@east.edu.bd,01732753273,East West University,Architecture,Associate Professor,14,Ph.D. in Computer Science,Embedded Systems; Cloud Computing; Entrepreneurship,12,8
FAC0038,Dr. Israt Uddin,F,israt.uddin38@north.edu.bd,01719523710,North South University,Media & Journalism,Assistant Professor,10,Ph.D. in Applied Mathematics,Cloud Computing,8,7
FAC0039,Dr. Anik Mahmud,M,anik.mahmud39@american.edu.bd,01670460568,American International University-Bangladesh (AIUB),Pharmacy,Lecturer,16,"M.Sc. in Computer Science, Ph.D. candidate",Natural Language Processing; Computer Networks; Public Policy,15,0
FAC0040,Dr. Ishrat Aktar,F,ishrat.aktar40@north.edu.bd,01473415177,North South University,Civil Engineering,Associate Professor,21,Ph.D. in Electrical Engineering,Software Engineering; Financial Economics; Structural Engineering,10,2
FAC0041,Dr. Sajid Haque,M,sajid.haque41@american.edu.bd,01503595442,American International University-Bangladesh (AIUB),Architecture,Associate Professor,21,"M.Sc. in Computer Science, Ph.D. candidate",Machine Learning; Cloud Computing; Software Engineering,8,8
FAC0042,Dr. Mou Nasrin,F,mou.nasrin42@brac.edu.bd,01742904588,BRAC University,Business Administration,Lecturer,12,Ph.D. in Public Health,Entrepreneurship; Human-Computer Interaction,5,1
FAC0043,Mou Molla,F,mou.molla43@bangladesh.edu.bd,01627601534,Bangladesh University of Professionals (BUP),Business Administration,Assistant Professor,19,Ph.D. in Civil Engineering,Financial Economics; Structural Engineering; Data Privacy,8,8
FAC0044,Dr. Rafi Chowdhury,M,rafi.chowdhury44@ahsanullah.edu.bd,01983350615,Ahsanullah University of Science and Technology (AUST),Electrical & Electronic Engineering,Associate Professor,14,Ph.D. in Applied Mathematics,Embedded Systems; Entrepreneurship,5,5
FAC0045,Tanzim Mia,M,tanzim.mia45@university.edu.bd,01833720948,University of Liberal Arts Bangladesh (ULAB),Public Health,Professor,4,Ph.D. in Applied Mathematics,Natural Language Processing; Human-Computer Interaction; Cybersecurity,10,2
FAC0046,Dr. Mim Parvin,F,mim.parvin46@university.edu.bd,01797718051,University of Liberal Arts Bangladesh (ULAB),Electrical & Electronic Engineering,Professor,7,Ph.D. in Data Science,Machine Learning; Human-Computer Interaction,8,3
FAC0047,Dr. Nayeem Ahmed,M,nayeem.ahmed47@american.edu.bd,01917399704,American International University-Bangladesh (AIUB),Electrical & Electronic Engineering,Assistant Professor,9,Ph.D. in Applied Mathematics,Embedded Systems; Machine Learning,15,13
FAC0048,Dr. Munira Karim,F,munira.karim48@brac.edu.bd,01588471270,BRAC University,Public Health,Assistant Professor,12,"M.Sc. in Computer Science, Ph.D. candidate",Cybersecurity; Natural Language Processing,8,5
FAC0049,Dr. Orin Sarker,F,orin.sarker49@brac.edu.bd,01413348458,BRAC University,Pharmacy,Associate Professor,6,Ph.D. in Applied Mathematics,Entrepreneurship; Bioinformatics,15,5
FAC0050,Dr. Nabila Reza,F,nabila.reza50@east.edu.bd,01429258796,East West University,Media & Journalism,Associate Professor,13,Ph.D. in Business Administration,Cloud Computing,12,12
FAC0051,Dr. Lamia Jahan,F,lamia.jahan51@daffodil.edu.bd,01569660606,Daffodil International University,Civil Engineering,Assistant Professor,12,Ph.D. in Civil Engineering,Financial Economics; Cybersecurity; Public Policy,10,7
FAC0052,Israt Sultana,F,israt.sultana52@north.edu.bd,01658833987,North South University,Economics,Senior Lecturer,11,"M.Sc. in Computer Science, Ph.D. candidate",Machine Learning; Financial Economics,12,12
FAC0053,Dr. Nabila Hossain,F,nabila.hossain53@independent.edu.bd,01873499601,Independent University Bangladesh (IUB),Architecture,Professor,21,Ph.D. in Applied Mathematics,Cloud Computing,12,11
FAC0054,Dr. Faisal Karim,M,faisal.karim54@american.edu.bd,01929493817,American International University-Bangladesh (AIUB),Civil Engineering,Lecturer,7,Ph.D. in Electrical Engineering,Cloud Computing; Public Policy,12,2
FAC0055,Dr. Sadman Talukder,M,sadman.talukder55@united.edu.bd,01855732573,United International University (UIU),Public Health,Assistant Professor,12,Ph.D. in Computer Science,Cloud Computing,5,5
